title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Sanctuary,2013,30.0,,,https://img.reelgood.com/content/movie/774aea39-c545-46f5-b7b6-acba516a61fc/poster-780.jpg,Horror,,,,A horror short.,"{""reelgood"": ""sanctuary-2013"", ""amazon"": ""B017ORV6AO""}"
Sand Castle,2017,113.0,18+ (R),,https://img.reelgood.com/content/movie/0016e8fe-7dc0-4c4a-a7fe-d2203ed569fe/poster-780.jpg,Drama,Military,6.3,44%,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.","{""reelgood"": ""sand-castle-2017"", ""netflix"": ""80118916""}"
Sand Dollars,2015,85.0,18+ (R),Argentina,https://img.reelgood.com/content/movie/6b7a9c75-0bd8-45a5-a144-0642279fbe2b/poster-780.jpg,Drama,Female Director,5.9,94%,"Every afternoon Noelí, a young Dominican woman, hangs out on the beach at Las Terrenas. With her boyfriend, Yeremi, they look for ways to make a living at the expense of one of the hundreds of tourists there. However Noelí also has a steady client, Anne, a much older French woman, who, like many other Europeans, has found an idyllic refuge on the island to spend her last years. For Noelí, the relationship is one of convenience, but the feelings become more intense as they plan to leave together for Paris.","{""reelgood"": ""sand-dollars-2015"", ""amazon"": ""B018ITL98G""}"
Sandook,2015,160.0,,,https://img.reelgood.com/content/movie/81d6bc7f-fbf0-4692-9e09-3aad2a4bfa93/poster-780.jpg,"Comedy, Drama, History",,7.1,,Sandook is a Marathi movie starring Sumeet Raghvan and Bharagavi Chirmuley in lead roles. it is a satirical comic thriller set in pre independence era in a small town. The main protagonist Wamanrao Ashtaputre is a simple honest man who always dreams of getting rid of the British Raj. The film is filled with hilarious moments and one liners. Sandook is a complete family entertainer with a feel good factor throughout the story,"{""reelgood"": ""sandook-2015"", ""netflix"": ""80201819""}"
Sand Sharks,2011,87.0,18+ (R),America,https://img.reelgood.com/content/movie/22228f42-7610-4327-b425-d25f382c7d62/poster-780.jpg,"Comedy, Horror, Science-Fiction, Action & Adventure, Thriller","Monster, Suspense, Supernatural",2.6,,"Just when you thought it was safe to go back to the beach, it appears that our large fishy friends have found a way to chomp on you when you're chilling out on the sand too!","{""reelgood"": ""sand-sharks-2011"", ""amazon"": ""B01G63P8OC""}"
Sand Storm,2016,87.0,,Israel,https://img.reelgood.com/content/movie/a4956aab-5748-487a-b80c-0682fe2f0e91/poster-780.jpg,Drama,Female Director,6.8,92%,"A Bedouin village in Northern Israel. When Jalila's husband marries a second woman, Jalila and her daughter's world is shattered, and the women are torn between their commitment to the patriarchal rules and being true to themselves.","{""reelgood"": ""sand-storm-2016"", ""netflix"": ""80098810""}"
Sand Wars,2013,74.0,7+ (PG),,https://img.reelgood.com/content/movie/198652d7-b1ec-442a-a6af-622a516338a3/poster-780.jpg,Documentary,,8.3,,Is sand an infinite resource? Can the existing supply satisfy a gigantic demand fueled by construction booms? What are the consequences of intensive beach sand mining for the environment and the neighboring populations?,"{""reelgood"": ""sand-wars-2013"", ""amazon"": ""B00RL9PXMI""}"
Sandy Wexler,2017,130.0,16+,,https://img.reelgood.com/content/movie/96b2c575-62a5-4030-8c75-db4915c3be0b/poster-780.jpg,"Comedy, Biography",,5.1,27%,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.","{""reelgood"": ""sandy-wexler-2017"", ""netflix"": ""80126569""}"
San Fernando Valley,1944,74.0,,America,https://img.reelgood.com/content/movie/c2efbc7d-e21b-478e-aa1f-5a069b72ef21/poster-780.jpg,,"Holiday, Animal, Teen",7,,"Directed by  John English in 1944. A ranch owner fires his ranch hands and brings in women to replace them. The owner's daughter wants the male hands back and comes up with a plan to do it. They will rustle the horses and when the women hands are unable to find them, they will bring them in and get their old jobs back. But the two hands that steal the horses sell them and then claim they were robbed.","{""reelgood"": ""san-fernando-valley-1944"", ""amazon"": ""B000YFV2OY""}"
Sanju,2018,161.0,,,https://img.reelgood.com/content/movie/838c6a76-8fc7-4c1e-b7a4-dd68e356814a/poster-780.jpg,"Drama, Comedy, Biography",,7.8,50%,Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.,"{""reelgood"": ""sanju-2018"", ""netflix"": ""81020508""}"
Sankashta Kara Ganapathi,2018,116.0,,,https://img.reelgood.com/content/movie/7899e0a9-025d-41c5-ac86-774b77ccb2e2/poster-780.jpg,"Comedy, Romance",,6.9,,"Ganapathi, a cartoonist, is diagnosed with a neurological disorder called Alien Hand Syndrome, which poses a hindrance in his daily life. Despite the disorder, Ganapathi attempts to achieve his goal and also goes on to woo the girl he loves.","{""reelgood"": ""sankashta-kara-ganapathi-2018"", ""amazon"": ""B07JZJB6PG""}"
San Pietro,1945,40.0,,America,https://img.reelgood.com/content/movie/aee23ccb-ea00-40e5-b4ce-2e9363317461/poster-780.jpg,Documentary,"War, World War II",6.7,,"This documentary movie is about the battle of San Pietro, a small village in Italy. Over 1,100 US soldiers were killed while trying to take this location, that blocked the way for the Allied forces from the Germans.","{""reelgood"": ""san-pietro-1945"", ""netflix"": ""80119188"", ""amazon"": ""B0010XWOJQ""}"
Santa and Pete,1999,98.0,7+ (PG),,https://img.reelgood.com/content/movie/efb2fe4b-6d99-476a-abe1-841cc7faa623/poster-780.jpg,Drama,,6.5,,"This warmhearted Yuletide tale tells the story of Grandpa Nichols (James Earl Jones) who is spending his first Christmas alone as a widower. His grandson Pete (Flex Alexander from SHE'S ALL THAT) is riveted by his grandfather's story of St. Nick, and Pete decides that it is his desire to do all he can to help out old St. Nick in any way he can. A delight for the whole family.","{""reelgood"": ""santa-and-pete-1999"", ""amazon"": ""B07HLPH55G""}"
Santa & Andres,2016,105.0,18+ (R),Colombia,https://img.reelgood.com/content/movie/c8695644-178a-4b0f-97ba-c3739e131ee5/poster-780.jpg,"Drama, LGBTQ","Mature, Political",6.7,88%,"Santa, a peasant woman loyal to the Revolution, is sent to guard Andrés, a gay writer who is under house arrest, considered “  untrustworthy”  for his ideas and sexuality by the Cuban authorities. Set in a small village in eastern Cuba during the early 1980s, this poignant political drama depicts an encounter between two deeply thoughtful souls on opposite sides of a profound cultural divide. Both have experienced deep loss, and both know the damaging effects of isolation and oppression. Even so, the cavernous ideological divide separating them — the same one that has separated Cuban friends and kin for over 50 years — has until now seemed insurmountable.","{""reelgood"": ""santa-andres-2016"", ""amazon"": ""B078WL7XBY""}"
Santa and the Three Bears,1970,46.0,All (G),America,https://img.reelgood.com/content/movie/ce631209-7e5c-4245-a1df-821c4d6b20ef/poster-780.jpg,"Animation, Family, Fantasy",Holiday,7.1,,"Two bear cubs want to meet Santa despite their mother telling them that Santa does not exist. With the help of the park ranger, their wish might come true!","{""reelgood"": ""santa-and-the-three-bears-1970"", ""amazon"": ""B017WQXAGK""}"
