imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt5697870,Lucknow Central,,2017,Not Rated,"Emmay Entertainment, Viacom18 Motion Pictures",India,Hindi,133.0,Ranjit Tiwari,"Aseem Arora , Ranjit Tiwari","Farhan Akhtar, Diana Penty, Inaamulhaq","Action, Drama, Music","When an innocent man aspiring to be a musician is framed for committing a murder, he decides to form a music band with his co-prisoners for a competition, but his real intention seems to be different.",,,273227,6.2,2299
tt0460496,Lucky,,2005,Not Rated,Blue-Tongue Films,Australia,English,5.0,Nash Edgerton,Nash Edgerton,,"Short, Action, Thriller",Lucky finds himself in a bind - and it's going to take more than a Houdini act to get out of this situation.,,,,6.5,350
tt5859238,Lucky,,2017,Not Rated,"Superlative Films, Divide/Conquer",USA,English,88.0,John Carroll Lynch,"Logan Sparks , Drago Sumonja","Harry Dean Stanton, David Lynch, Ron Livingston","Comedy, Drama, Western",The spiritual journey of a ninety-year-old atheist.,,955925,1861765,7.3,15780
tt1473397,Lucky,,2011,R,"Ten/Four Pictures, Tax Credit Finance",USA,English,103.0,Gil Cates Jr.,Kent Sublette,"Colin Hanks, Ari Graynor, Jeffrey Tambor",Comedy,A wannabe serial killer wins the lottery and pursues his lifelong crush.,,8564,8564,5.4,3442
tt0122735,Lucky and Zorba,La gabbianella e il gatto,1998,G,"Cecchi Gori Group Tiger Cinematografica, Lanterna Magica",Italy,Italian,75.0,Enzo D'Alò,"Enzo D'Alò, Umberto Marino","Carlo Verdone, Antonio Albanese, Luis Sepúlveda","Animation, Comedy, Drama","A dying seagull entrusts her egg to a cat named Zorba, who promises three things: he won't eat the egg, he'll care for the egg, and he'll teach the baby seagull to fly.",6000000,,82106,7.1,1269
tt3149360,Lucky Dog,,2015,PG,"Donley Entertainment, Good Deed Entertainment",USA,English,88.0,Michael Feifer,Michael Feifer,"Bryce Johnson, Boti Bliss, David DeLuise",Family,"Lucky Dog is a paw'some and fun live action movie for the whole family! Lucky's owner Travis (Bryce Johnson, ""Pretty Little Liars"") is a divorced father of two, dedicated to his great kids,",350000,,,5.5,54
tt2612924,Lucky Kabootar,,2014,Unrated,Inderjit Films Combine,India,Hindi,117.0,Shammi Chhabra,"Shammi Chhabra, Shyam Goel","Arvinder Bhatti, Shradha Das, Rimple Dhindsa",Comedy,Lucky (Eijaz Khan) loves 'modern' Kammo (Shradha Das) but ends up marrying the girl-next-door Lakshmi (Kulraj Randhawa). An accident leads him to believe that his wife is dead. Instead of ,,,,5.3,66
tt0102351,Lucky Luke,,1991,PG,"Paloma Films, Reteitalia",Italy,English,92.0,Terence Hill,"Morris , René Goscinny","Terence Hill, Nancy Morgan, Roger Miller","Comedy, Western",Lucky Luke becomes the Sheriff of Daisy Town and runs out all the criminals. Then the Dalton brothers arrive and try to get the Indians to break the peace treaty and attack the town.,,,,5.2,3371
tt0449306,Lucky: No Time for Love,,2005,Not Rated,Sohail Khan Production,India,Hindi,,"Radhika Rao, Vinay Sapru","Radhika Rao, Vinay Sapru","Salman Khan, Sneha Ullal, Mithun Chakraborty","Musical, Drama, Romance","In a chain of unfortunate events, a 17-year-old schoolgirl narrowly escapes a possible rapist, is caught up in a terror attack, and drinks contaminated water that poisons her.",,453507,891789,4.7,3013
tt2538204,#Lucky Number,,2015,TV-14,36films,USA,English,80.0,Brendan Gabriel Murphy,"David Cornue, Michael Cuccolo","Tom Pelphrey, Natalie Hall, Method Man",Comedy,"Based on a true story, an aspiring New York City sportscaster's life is on the slow track until he serendipitously gets the old cell phone number of a basketball superstar. Will the number ",1000000,,,5.0,435
