imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt5706420,Art of the Game: Ukiyo-e Heroes,,2017,TV-14,Rivertime Entertainment,USA,English,97,Toru Tokikawa,"Min Hye Kim, Toru Tokikawa",,Documentary,A Canadian craftsman and an American designer with a father and son generation gap collaborate to revive the ancient Japanese woodcut using pop-culture icons: Mario and Pokémon.,,,,8.1,237
tt3267734,Art of the Prank,,2015,,,USA,English,85,Andrea Marini,Andrea Marini,"Mark Borkowski, Michael Carter, Manulele Clark","Documentary, Biography, Comedy","Art of the Prank is an emotional and humorous journey following the evolution of Joey Skaggs, Godfather of the media hoax, as he tries to pull off the most challenging prank of his career. ",,,,6.8,109
tt1292643,Artois the Goat,,2009,Not Rated,Bogart Reininger Film 2008,USA,English,110,"Cliff Bogart, Kyle Bogart","Cliff Bogart, Kyle Bogart","Mark Meir, Sydney Andrews, Stephen Taylor Fry",Comedy,Lab technician Virgil Gurdies struggles to choose between his truelove Angie and his newfound quest to create the greatest goat cheese the world has ever known.,50000,,,6.1,158
tt5947582,Art Show Bingo,,2017,,,USA,English,90,Matthew Fine,"Matthew Fine, Emile Husson","Lillian Solange Beaudoin, James Maslow, Ella Lentini",Romance,A creative and talented young man (Wil Hunter -played by James Maslow) is torn between his passion for painting and his promise to his father to one day take over the family business. With ,,,,6.0,123
tt0325015,Artworks,,2003,R,"ARTE, Artworks Partners LLC",USA,English,96,Jim Amatulli,"Jim Amatulli, Lee Watters","Virginia Madsen, Rick Rossovich, Eddie Mills","Crime, Drama, Romance","A police chief's daughter, a sales agent for a home-security firm, meets an art gallery owner. Love and envy lead them to hatch a plot to steal overlooked but valuable paintings from her wealthy clients.",,,,4.9,274
tt0201899,A Rumor of Angels,,2000,PG-13,"Cinetel Films, Motion Picture Corporation of America (MPCA)",USA,English,106,Peter O'Fallon,"Grace Duffie Boylan , James Eric","Vanessa Redgrave, Ray Liotta, Catherine McCormack",Drama,An old woman helps a young boy resolve his feelings over the death of his mother.,,38610.0,38610,6.9,1255
tt2128408,A Russell Peters Christmas Special,,2011,,"CPI Pictures, Insight Production Company",Canada,English,44,Henry Sarwer-Foner,"Luciano Casimiri, Jean Paul","Russell Peters, Pamela Anderson, Michael Bublé",Comedy,A comedy Christmas special. Pamela Anderson; Ted Lange; Jon Lovitz; Scott Thompson.,,,,4.1,291
tt5867800,Aruvi,,2016,Not Rated,Dream Warrior Pictures,India,Tamil,130,Arun Prabhu Purushothaman,Arun Prabhu Purushothaman,"Aditi Balan, Padmashri Mohammad Ali, Pradeep Anthony",Drama,A gentle girl born and brought up amidst the ever growing eco-social-consumeristic environment finds it difficult to fit in the society. She decides to take it hard on the people. What she does is the rest of the story.,400000,,,8.7,8871
tt2870612,"As Above, So Below",,2014,R,"Legendary Entertainment, Universal Pictures",USA,English,93,John Erick Dowdle,"John Erick Dowdle , Drew Dowdle","Perdita Weeks, Ben Feldman, Edwin Hodge","Horror, Mystery, Thriller","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",5000000,21321100.0,41898409,6.2,69444
tt5780570,A Scandall,,2016,,Let's Ring the Bell Productions,India,Hindi,112,Ishaan Trivedi,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder, Manav Kaul",Thriller,"Kuhu, a 9 year old girl, drowns in a lake in Nainital. Soon after, her father, Manav falls off a cliff but lives on to lead a strange life of hallucinations and complete metamorphosis. ",INR50000000,,,3.1,111
tt2805676,Ascent to Hell,,2014,TV-MA,Rumpus Room Productions,USA,English,90,Dena Hysell-Cornejo,"Isak Borg , Dena Hysell-Cornejo","Azura Skye, Cayleb Long, Bill Sage","History, Horror, Thriller","When a realtor shows an old New York factory building to a group of would-be investors, they are unwittingly caught in its tragic and sinister history.",,,,4.4,122
tt6531196,Ascharyachakit!,,2018,,"Samit Kakkad Films, Saregama India",India,Hindi,90,Samit Kakkad,"Hrishikesh Koli , Amar Tipnis","Priyanka Bose, Vaibhav Raj Gupta, Ankit Raaj","Drama, Romance","Desire and greed intertwines the lives of a Bollywood star, his chauffeur, a prostitute and her pimp in an unlikely love story.",,,,4.9,428
tt1639901,A Screaming Man,Un homme qui crie,2010,Not Rated,"Pili Films, Entre Chien et Loup",France,French,92,Mahamat-Saleh Haroun,Mahamat-Saleh Haroun,"Youssouf Djaoro, Diouc Koma, Emile Abossolo M'bo",Drama,"Present-day Chad. Adam, fifty-five, a former swimming champion, is pool attendant at a smart N'Djamena hotel. When the hotel gets taken over by new Chinese owners, he is forced to give up ",,9862.0,185088,6.7,1389
tt3402880,As Dreamers Do,,2014,Not Rated,Laugh-O-Gram Studios,USA,English,90,Logan Sekulow,Wendy Ott,"Travis Tritt, Olan Rogers, Ryan Dunlap","Biography, Drama, Family","Behind every great mouse there is a man - Armed with an ever growing imagination and eternal optimism, Walt begins to develop skills as an animator early in life. He overcomes a variety of hardships to become one of the biggest icons in the world: Walt Disney.",,,,3.5,431
tt2150139,A 2nd Chance,A Second Chance,2011,PG,Glenpictures,Australia,English,90,Clay Glen,Clay Glen,"Nina Pearce, Adam Tuominen, Emily Morris","Drama, Family, Sport",A young girl and her coach overcome adversity to make their way into the National Australian Gymnastics Squad.,,,,4.7,724
tt5226380,A Second Chance,,2015,,"ABS-CBN Film Productions, Star Cinema",Philippines,Filipino,130,Cathy Garcia-Molina,"Carmi Raymundo  , Vanessa R. Valdez","John Lloyd Cruz, Bea Alonzo, Janus del Prado",Drama,A couple with a tumultuous romantic past finds married life to be just as difficult.,,,,7.0,319
tt8634328,Asees,,2018,,"Navroz Gurbaz Entertainment, Basant Entertainment",India,Punjabi,127,Rana Ranbir,Rana Ranbir,"Rana Ranbir, Neha Pawar, Kuljinder Singh Sidhu",Drama,"At the heart of Asees is the story of an endearing mother-son duo. Through their journey, the film paints a poignant portrait of the powerful bond between a mother and her child.",,,19458,7.4,136
tt0076682,"A Sensitive, Passionate Man",,1977,Not Rated,The Factor-Newland Production Corporation,USA,English,98,John Newland,"Rita Lakin , Barbara Mahoney","Angie Dickinson, David Janssen, Mariclare Costello",Drama,"The marriage of a wealthy, outwardly happy couple is threatened by the husband's alcoholism.",,,,7.1,100
tt1832382,A Separation,Jodaeiye Nader az Simin,2011,PG-13,"Asghar Farhadi Productions, Dreamlab Films",Iran,Persian,123,Asghar Farhadi,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat",Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,500000,7099055.0,19899055,8.3,203421
tt1019452,A Serious Man,,2009,R,"Focus Features, StudioCanal",USA,English,106,"Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick","Comedy, Drama","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",7000000,9228768.0,31430334,7.0,124547
tt4552534,As Far as the Eye Can See,,2016,TV-14,As Far As The Eye Can See,USA,English,88,David Franklin,Paden Fallis,"Jason London, Luci Christian, Jenni Tooley","Drama, Music","Jack Ridge is a former piano prodigy living on a farm he has let go to seed. He's living in the past, but the future is coming for him.",,,,6.2,87
tt3774466,Ashby,,2015,R,"Head Gear Films, Kreo Films FZ",USA,English,100,Tony McNamara,Tony McNamara,"Mickey Rourke, Nat Wolff, Emma Roberts","Comedy, Crime, Drama","High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.",,4631.0,122919,6.4,13824
tt0839981,A Shepherd of Pure Heart,,2005,Not Rated,Desselb Productions,USA,English,105,Keith L. Garside,Keith L. Garside,"Brian K. Washington, Dionne Audain, Joseph Dunn",Drama,"Evenside Church is an upstanding and venerable institution that has served African-American families in rural Maryland for 200 years. Minister Karl Upton is proud to be its young, ",15000,,,5.4,23
tt1674769,Ashes,,2010,TV-MA,2 Red Rabbit Films,USA,English,95,Elias Matar,"Elias Matar, Edward E. Romero","Enrique Almeida, Joel Bryant, Chris Trouble Delfosse","Horror, Sci-Fi, Thriller",An obsessive doctor working on a cure for AIDS unwittingly creates an aggressive new bacteria that deteriorates the body and enrages the mind.,900000,,,4.8,271
tt2119383,As High as the Sky,,2012,Not Rated,Aunt Kiki Productions,USA,English,90,Nikki Braendlin,Nikki Braendlin,"Caroline Fogarty, Bonnie McNeil, Laurel Porter","Comedy, Drama","Margaret has always been a little... particular. But since being jilted by her fiance, her obsessive-compulsive behaviors are in overdrive. The last thing she needs is company. Showing up ",,,,6.6,170
tt2084093,Ashley,,2013,TV-14,"Trick Candle Productions, Ronalds Brothers Films",USA,English,93,Dean Matthew Ronalds,Domenic Migliore,"Jennifer Taylor, Michael Madsen, Holly Taylor",Drama,"A teenage girl, distraught from her vain attempt to connect with her estranged mother, resorts to cutting herself. When she develops an online relationship with an older woman, she learns ",,,,5.4,815
