title,year,duration,rating,country,poster,genres,tags,imdb_score,rt_score,synopsis,services
Life Is A Banquet - The Rosalind Russell Story,1970,,,,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMTEiIGhlaWdodD0iMTIuNCIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIj48cGF0aCBkPSJNMS43NjIuMjk4Qy44MDctLjI1Mi4wMzIuMjA4LjAzMiAxLjMwOHY5Ljc4YzAgMS4xMDguNzY4IDEuNTY0IDEuNzMgMS4wMWw4LjUzLTQuOTA0Yy45NTUtLjU1Ljk2Mi0xLjQzNyAwLTEuOTlMMS43NjEuMjk3eiIgc3Ryb2tlPSJudWxsIiBmaWxsPSIjMDgxMTE4IiBmaWxsLXJ1bGU9ImV2ZW5vZGQiLz48L3N2Zz4=",,,,,"The star of Auntie Name, His Girl Friday, and scores of other memorable films and Broadway shows, Rosalind Russell came into her own during Hollywood's Golden Era and was paired with many of the luminaries of that time.  Narrated by Kathleen Turner.","{""reelgood"": ""life-is-a-banquet-the-rosalind-russell-story-1970"", ""amazon"": ""B07G8HX4LT""}"
Life Itself,2014,121.0,18+ (R),,https://img.reelgood.com/content/movie/d31d0276-8da7-4fa2-877c-3de88c423393/poster-780.jpg,"Documentary, Biography",,7.8,97%,"Life Itself recounts the surprising and entertaining life of renowned film critic and social commentator Roger Ebert. The film details his early days as a freewheeling bachelor and Pulitzer Prize winner, his famously contentious partnership with Gene Siskel, his life-altering marriage, and his brave and transcendent battle with cancer.","{""reelgood"": ""life-itself-2014"", ""hulu"": ""life-itself-ba4119f8-b064-44e2-9d79-a3e6a5585cbb""}"
Life Itself,2018,118.0,18+ (R),Spain,https://img.reelgood.com/content/movie/046db6d3-5722-4742-8cb9-1b63b2c5483a/poster-780.jpg,"Drama, Romance",Feel-good,6.7,14%,"As a young New York couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.","{""reelgood"": ""life-itself-2018"", ""amazon"": ""B07FJNY7MT""}"
Life Ki Toh Lag Gayi,2012,155.0,,,https://img.reelgood.com/content/movie/34084ced-5869-41ea-a262-859491836a0f/poster-780.jpg,Comedy,,5.5,,"A one-day journey of four different people struggling in the city of Mumbai. One with vengeance, one on a mission, one with hope and one looking to con.","{""reelgood"": ""life-ki-toh-lag-gayi-2012"", ""netflix"": ""81024730""}"
Lifeline,1997,108.0,,,https://img.reelgood.com/content/movie/7f64e094-3557-44ef-9e8f-e36fb1678595/poster-780.jpg,"Action & Adventure, Thriller, Mystery",,6.7,,Johnnie To's character-centered drama follows a Hong Kong firefighting crew as they take on harrowing rescue missions and navigate personal dilemmas.,"{""reelgood"": ""lifeline-1997"", ""netflix"": ""11546798"", ""amazon"": ""B073V55DZD""}"
Life of a King,2013,101.0,13+ (PG-13),America,https://img.reelgood.com/content/movie/b1c87eab-d1a1-4cc1-bb63-b62b7fa1f473/poster-780.jpg,Drama,Prison,6.9,38%,"Life of a King is the true story of one man's mission to give inner city kids of Washington DC something he never had - a future. After being incarcerated for eighteen years, Eugene Brown established the Big Chair Chess Club to get kids off the streets and working towards lives they never believed they were capable of. This is his inspirational story.","{""reelgood"": ""life-of-a-king-2013"", ""amazon"": ""B00HS4OTH6""}"
Life of An Outcast,2018,90.0,,,https://img.reelgood.com/content/movie/d1679012-5658-4deb-a51d-8951d3e1fb2f/poster-780.jpg,,,7,,Film about caste oppression and religious intolerance in India.,"{""reelgood"": ""life-of-an-outcast-2018"", ""netflix"": ""81051693""}"
Life of Brian,1979,94.0,18+ (R),United Kingdom,https://img.reelgood.com/content/movie/b5847222-d358-4bfe-b025-312087c72102/poster-780.jpg,"Comedy, Cult","Rome, Religion, Political",8.1,95%,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.","{""reelgood"": ""life-of-brian-1979"", ""netflix"": ""699257""}"
Life of Crime,2013,94.0,18+ (R),America,https://img.reelgood.com/content/movie/9399b0aa-746f-4978-aa83-56d67d910f27/poster-780.jpg,"Comedy, Crime",Kidnapping,5.8,67%,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,"{""reelgood"": ""life-of-crime-2013"", ""amazon"": ""B00N4OQU1M"", ""hulu"": ""life-of-crime-2013-9c267b7d-65c5-4d99-a42e-a11483ae781e""}"
Life Off Grid,2016,85.0,,,https://img.reelgood.com/content/movie/043a10ef-106c-4e8d-8475-e51b2836de8c/poster-780.jpg,Documentary,,6.7,,"Off-grid is not a state of mind. It is not about being out of touch, living in a remote place, or turning off your mobile phone. Off-grid simply means living without a connection to the electric and natural gas infrastructure. From 2011 to 2013 Jonathan Taggart (Director) and Phillip Vannini (Producer) spent two years travelling across Canada to find 200 off-gridders and visit them in their homes.  -","{""reelgood"": ""life-off-grid-2016"", ""amazon"": ""B071G6MC4W""}"
